node_id,row,col,degree,type,bfs_depth_from_root
2061,534.3333333333334,216.66666666666666,3,junction,9
2062,535.4285714285714,425.7142857142857,3,junction,9
2063,534.0,554.0,1,endpoint,17
2064,535.0,692.25,3,junction,23
2065,535.0,300.0,1,endpoint,10
2066,535.0,439.0,3,junction,10
2067,535.6666666666666,468.6666666666667,3,junction,13
2068,535.0,675.0,1,endpoint,22
2069,536.0,33.0,1,endpoint,23
2070,536.25,49.0,3,junction,21
2071,536.75,103.0,3,junction,17
2072,536.3333333333334,113.66666666666667,3,junction,16
2073,537.6,261.2,2,junction,8
2074,536.0,603.0,1,endpoint,18
2075,536.0,646.0,3,junction,20
2076,537.6666666666666,164.33333333333334,3,junction,12
2077,537.6666666666666,169.66666666666666,3,junction,11
2078,538.0,298.75,3,junction,9
2079,538.0,339.75,3,junction,7
2080,538.0,63.0,1,endpoint,21
2081,538.3333333333334,98.66666666666667,3,junction,18
2082,538.0,472.0,1,endpoint,14
2083,538.3333333333334,555.3333333333334,3,junction,16
2084,538.0,592.0,3,junction,17
2085,539.25,623.0,3,junction,18
2086,540.0,59.0,1,endpoint,22
2087,540.3333333333334,88.33333333333333,3,junction,19
2088,540.0,134.0,1,endpoint,15
2089,541.0,408.8,3,junction,8
2090,541.0,712.0,2,junction,25
2091,541.0,325.0,1,endpoint,9
2092,541.0,384.0,1,endpoint,10
2093,541.8,507.4,2,junction,15
2094,541.0,541.0,1,endpoint,17
2095,541.0,720.0,3,junction,26
2096,543.0,100.0,1,endpoint,19
2097,545.0,180.25,3,junction,10
2098,544.6666666666666,186.66666666666666,3,junction,9
2099,544.25,254.0,3,junction,7
2100,544.0,456.0,1,endpoint,12
2101,544.3333333333334,535.3333333333334,3,junction,16
2102,544.0,643.0,1,endpoint,21
2103,545.6666666666666,462.6666666666667,3,junction,12
2104,545.0,489.0,1,endpoint,15
2105,545.3333333333334,503.6666666666667,3,junction,14
2106,546.75,45.75,2,junction,22
2107,546.0,130.0,1,endpoint,17
2108,546.6666666666666,675.6666666666666,3,junction,22
2109,546.6,727.0,2,junction,27
2110,547.3333333333334,458.3333333333333,3,junction,11
2111,547.0,490.0,3,junction,14
2112,549.0,41.6,2,junction,23
2113,549.0,118.25,3,junction,17
2114,548.0,129.0,3,junction,16
2115,548.6666666666666,659.3333333333334,3,junction,21
2116,549.0,357.0,1,endpoint,9
2117,549.25,477.0,3,junction,13
2118,551.0,131.25,3,junction,15
2119,550.25,537.25,4,junction,15
2120,552.0,84.75,3,junction,20
2121,551.3333333333334,321.6666666666667,3,junction,8
2122,552.4,648.0,2,junction,19
2123,552.0,100.0,1,endpoint,19
2124,552.0,656.0,3,junction,20
2125,553.6666666666666,64.33333333333333,3,junction,21
2126,553.6666666666666,150.66666666666666,3,junction,13
2127,553.8,359.6,2,junction,8
2128,553.0,526.0,1,endpoint,15
2129,554.4,635.0,2,junction,18
2130,554.75,101.0,3,junction,18
2131,554.0,128.0,1,endpoint,16
2132,554.3333333333334,451.3333333333333,3,junction,10
2133,555.75,44.0,3,junction,24
2134,555.6666666666666,528.3333333333334,3,junction,14
2135,555.75,590.0,3,junction,16
2136,555.75,622.0,3,junction,17
2137,556.0,175.0,3,junction,11
2138,556.0,343.0,1,endpoint,8
2139,557.3333333333334,114.66666666666667,3,junction,17
2140,557.75,476.25,2,junction,12
2141,559.0,50.25,3,junction,23
2142,558.0,140.0,3,junction,14
2143,558.75,218.25,4,junction,8
2144,558.0,394.0,1,endpoint,8
2145,559.3333333333334,56.666666666666664,3,junction,22
2146,559.3333333333334,89.33333333333333,3,junction,19
2147,559.0,187.0,1,endpoint,12
2148,560.0,357.75,3,junction,7
2149,560.0,163.0,3,junction,12
2150,561.0,402.75,3,junction,7
2151,560.6666666666666,681.6666666666666,3,junction,22
2152,561.3333333333334,181.33333333333334,3,junction,11
2153,562.0,338.75,3,junction,7
2154,562.0,39.0,1,endpoint,25
2155,563.0,58.25,3,junction,23
2156,562.0,89.0,3,junction,19
2157,563.0,61.0,1,endpoint,24
2158,564.0,115.25,3,junction,16
2159,564.0,214.5,3,junction,9
2160,563.0,673.0,1,endpoint,23
2161,564.0,69.0,1,endpoint,21
2162,564.0,642.0,1,endpoint,18
2163,565.0,662.0,1,endpoint,21
2164,566.0,686.25,3,junction,21
2165,565.0,725.0,1,endpoint,24
2166,566.6666666666666,446.6666666666667,3,junction,9
2167,566.0,506.0,3,junction,13
2168,566.0,510.0,3,junction,13
2169,566.0,595.0,1,endpoint,17
2170,566.3333333333334,659.6666666666666,3,junction,20
2171,567.0,47.0,3,junction,22
2172,567.0,59.0,1,endpoint,24
2173,568.0,136.5,4,junction,15
2174,567.0,141.0,1,endpoint,16
2175,567.75,360.0,3,junction,6
2176,568.0,44.0,1,endpoint,23
2177,568.75,96.0,3,junction,18
2178,568.0,217.0,1,endpoint,10
2179,568.0,354.0,1,endpoint,7
2180,569.0,75.0,3,junction,20
2181,570.0,247.25,3,junction,7
2182,570.0,703.25,3,junction,22
