box_size,N_boxes,log_inverse_box_size,log_N_boxes
4,15296,-1.3862943611198906,9.635346635291183
8,4864,-2.0794415416798357,8.489616423646003
16,1358,-2.772588722239781,7.213768308118642
32,364,-3.4657359027997265,5.8971538676367405
64,100,-4.1588830833596715,4.605170185988092
128,28,-4.852030263919617,3.332204510175204
256,6,-5.545177444479562,1.791759469228055
